Team,Year,Gold,Silver,Bronze
Encore,1952,0,1,0
United Kingdom,1908,1,0,5
United Kingdom,1912,0,1,0
Erna Signe,1912,0,4,0
Espadarte,1952,0,0,1
Esterel-1,1900,1,0,0
Estonia,2000,0,0,1
Estonia,2016,0,0,1
Estonia,2008,0,1,0
Ethiopia,1992,0,0,2
Ethiopia,2012,2,0,3
Ethiopia,2016,1,1,3
Ethiopia,2008,4,0,1
Ethiopia,2004,2,2,1
Ethiopia,2000,1,0,0
Ethiopia,1960,1,0,0
Ethiopia,1964,1,0,0
Favorite Hammonia-3,1900,0,0,2
Favorite-1,1900,0,2,0
Fiji,2016,2,0,0
Finland,1920,1,0,2
Finland,2014,0,0,2
Finland,1948,3,0,5
Finland,1952,0,0,1
Finland,1932,0,0,1
Finland,1994,0,0,1
Finland,1928,0,0,2
Finland,1912,0,3,1
Finland,2010,0,0,2
Finland,1998,0,0,2
Finland,1924,2,3,3
Finland,1984,0,0,2
Finland,1972,0,0,1
Finland,1992,0,1,1
Finland,1960,2,0,0
Finland,2002,0,1,0
Finland,2006,0,2,0
Finland,1996,0,1,0
Finland,1936,0,2,0
Finland,1988,0,2,0
Fornebo,1920,0,3,0
Foxhunters Hurlingham,1900,2,0,0
France,1984,6,6,12
France,1936,5,5,8
France,1996,9,5,7
France,1920,5,28,28
France,1924,18,23,11
France,1952,4,3,6
France,2008,8,10,17
France,1928,4,9,5
France,2004,5,2,6
France,1908,5,2,11
France,1992,3,5,13
France,2006,3,2,6
France,1994,0,1,5
France,1998,1,0,3
France,2012,12,9,6
France,1968,3,1,4
France,2000,10,6,6
France,2016,4,12,8
France,1980,5,2,2
France,2014,1,1,2
France,1948,16,10,12
France,1972,0,3,5
France,1988,3,2,6
France,1976,1,0,2
France,1900,10,12,12
France,1964,1,7,6
France,1960,0,1,2
France,2010,0,5,3
France,1912,4,5,4
France,1932,10,3,2
France,1956,2,6,5
France,1906,10,4,6
France,2002,2,1,1
France,1896,0,1,0
France,1904,0,1,0
Frankfurt Club,1900,0,2,0
Gallant,1932,0,4,0
Gallia II,1912,0,0,2
Galt Football Club,1904,2,0,0
Gem,1964,1,0,0
Gem IV,1956,0,0,1
Georgia,2000,0,0,3
Georgia,2016,0,0,1
Georgia,2004,1,0,0
Germania II,1936,0,0,1
Germany,1908,2,3,2
Germany,1912,3,3,6
Germany,1936,19,13,9
Germany,2004,10,12,16
Germany,2016,7,9,9
Germany,2012,6,5,5
Germany,2008,4,3,12
Germany,2002,4,5,6
Germany,2006,3,6,3
Germany,1998,5,2,2
Germany,1996,7,4,10
Germany,1906,5,3,2
Germany,1992,20,19,12
Germany,1932,3,10,2
Germany,1964,6,8,7
Germany,2000,13,6,9
Germany,1928,5,4,6
Germany,2014,2,1,2
Germany,1960,6,5,4
Germany,1956,2,4,5
Germany,1952,2,3,5
Germany,1994,4,5,4
Germany,2010,2,4,1
Germany,1896,2,0,0
Germany,1904,1,1,0
Germany,1900,0,1,0
Ghana,1992,0,0,9
Ghana,1972,0,0,1
Ghana,1964,0,0,1
Ghana,1900,0,2,2
Great Britain,1980,2,5,4
Great Britain,2014,0,2,1
Great Britain,2012,17,9,13
Great Britain,1968,4,3,3
Great Britain,1992,2,1,10
Great Britain,1984,6,8,17
Great Britain,2000,8,7,4
Great Britain,1948,2,12,3
Great Britain,1908,22,19,15
Great Britain,1924,6,9,13
Great Britain,1920,12,12,5
Great Britain,1912,10,9,15
Great Britain,1964,3,5,2
Great Britain,1952,1,1,13
Great Britain,1900,7,1,2
Great Britain,2016,18,17,7
Great Britain,1998,0,0,1
Great Britain,1976,1,4,7
Great Britain,1896,2,1,1
Great Britain,2008,8,4,8
Great Britain,1972,1,0,2
Great Britain,1996,0,7,1
Great Britain,1928,3,4,5
Great Britain,1988,7,6,1
Great Britain,1960,0,1,3
Great Britain,1956,1,2,2
Great Britain,1936,10,8,3
Great Britain,2002,0,0,1
Great Britain,1932,5,6,4
Great Britain,2004,6,4,3
Great Britain,1994,0,0,1
Great Britain,1906,0,5,1
Great Britain,1904,0,1,0
Great Britain/Germany,1896,1,0,0
Greece,2000,1,0,1
Greece,2008,0,0,2
Greece,1980,0,0,1
Greece,1896,1,3,3
Greece,1906,1,2,3
Greece,2004,2,3,1
Greece,1992,1,0,0
Greece,1996,1,1,0
Greece,1924,1,0,0
Greece,1908,0,1,0
Guatemala,2012,0,1,0
Guyana,1980,0,0,1
Guyoni,1908,0,0,1
Gwendoline-2,1900,0,0,1
Gyrinus-1,1908,2,0,0
Haiti,1924,0,0,2
Haiti,1928,0,1,0
Heatherbell,1912,0,0,1
Heira II,1920,2,0,0
Hera-1,1908,6,0,0
Heroine,1908,2,0,0
Hollandia,1928,0,2,0
Hungary,1936,7,1,3
Hungary,1988,9,1,4
Hungary,1960,2,1,12
Hungary,1976,3,2,9
Hungary,1924,0,1,3
Hungary,1968,7,4,8
Hungary,1972,4,12,8
Hungary,1952,12,3,5
Hungary,1932,3,0,2
Hungary,1948,4,5,3
Hungary,2000,3,6,2
Hungary,1992,8,6,4
Hungary,2016,2,1,1
Hungary,1908,0,0,1
Hungary,1980,1,1,5
Hungary,2004,4,2,1
Hungary,2012,3,1,3
Hungary,1964,11,1,1
Hungary,1996,2,3,4
Hungary,1956,4,3,1
Hungary,1900,1,0,0
Hungary,2008,3,4,0
Hungary,1912,1,4,0
Hungary,1928,0,2,0
Hungary,1896,0,1,0
Hungary,1906,0,2,0
Hurlingham-2,1908,0,1,0
Iceland,2008,0,2,0
Iceland,1956,0,1,0
India,1972,0,0,2
India,1968,0,0,1
India,2012,0,0,1
India,1928,3,0,0
India,1964,1,0,0
India,1932,6,0,0
India,1936,5,0,0
India,1980,3,0,0
India,2008,1,0,0
India,1948,4,0,0
India,1952,4,0,0
India,1956,1,0,0
India,1960,0,2,0
Individual Olympic Athletes,2016,1,0,1
Individual Olympic Athletes,1992,0,0,1
Indonesia,1992,1,0,0
Indonesia,2016,1,1,0
Indonesia,1996,0,0,1
Indonesia,2004,0,0,1
Iran,2016,0,0,2
Iran,1960,0,0,1
Iran,2000,1,0,0
Iran,1972,0,1,0
Iran,2012,0,2,0
Iran,1976,0,1,0
Iraq,1960,0,0,1
Ireland,2008,0,1,1
Ireland,2012,0,0,2
Ireland,1956,1,0,2
Ireland,1992,1,0,0
Ireland,1908,0,3,0
Israel,1992,0,1,0
Italia,1936,2,0,0
Italy,2016,4,16,12
Italy,1936,8,9,4
Italy,2004,11,11,19
Italy,1932,5,12,4
Italy,1968,6,3,10
Italy,1994,9,2,5
Italy,1912,6,0,1
Italy,1920,21,5,7
Italy,1924,8,1,11
Italy,1996,8,8,11
Italy,1952,9,8,5
Italy,1960,14,10,14
Italy,1976,2,13,3
Italy,1928,8,4,10
Italy,2012,8,9,6
Italy,1972,1,6,7
Italy,1988,7,3,4
Italy,1992,13,11,8
Italy,1984,13,1,13
Italy,1998,1,5,3
Italy,2002,2,5,1
Italy,1964,7,12,4
Italy,1948,7,9,6
Italy,1956,12,8,4
Italy,2000,6,5,6
Italy,1980,1,5,2
Italy,2006,6,0,3
Italy,2008,2,4,3
Italy,1906,0,3,1
Italy,1908,1,2,0
Italy,1900,2,0,0
Jamaica,1996,0,1,3
Jamaica,2004,3,0,3
Jamaica,2012,6,4,2
Jamaica,2016,6,5,0
Jamaica,2008,3,0,0
Jamaica,2000,0,4,0
Jamaica,1988,0,3,0
Jamaica,1992,0,2,0
Jamaica,1984,0,1,0
Japan,1964,3,1,2
Japan,1992,0,1,4
Japan,2004,1,0,2
Japan,1976,2,0,3
Japan,1972,1,0,1
Japan,2016,2,1,3
Japan,1936,1,0,1
Japan,2012,0,3,3
Japan,1996,1,0,1
Japan,1984,0,2,1
Japan,1994,1,0,0
Japan,1960,3,0,0
Japan,2006,1,0,0
Japan,2008,1,1,0
Japan,1968,1,1,0
Japan,1956,0,2,0
Japan,2000,0,2,0
Japan,1928,0,1,0
Japan,2010,0,1,0
Jest,1956,1,0,0
Jo,1920,1,0,0
Jordan,2016,1,0,0
K Division Metropolitan Police Team-3,1908,0,0,3
Kazakhstan,2008,0,0,1
Kazakhstan,2012,1,0,1
Kazakhstan,2016,1,0,1
Kazakhstan,2004,1,1,0
Kazakhstan,2000,0,2,0
Kazakhstan,1996,0,2,0
Kenya,1984,0,0,1
Kenya,1972,1,0,1
Kenya,2000,0,1,1
Kenya,2012,0,1,1
Kenya,1992,1,2,0
Kenya,1968,1,2,0
Kenya,2008,1,0,0
Kenya,2016,1,1,0
Kenya,1988,1,0,0
Kenya,1996,0,1,0
Kerstin-1,1912,0,0,1
Kitty-1,1912,1,0,0
Kullan,1920,1,0,0
Kurush II,1948,0,2,0
Kuwait,2000,0,0,1
Kuwait,2012,0,0,1
Kyrgyzstan,2008,0,1,0
L'Aile VI,1928,3,0,0
Lalage,1936,2,0,0
Latvia,1936,0,1,1
Latvia,1932,0,1,0
Latvia,2010,0,1,0
Latvia,2014,0,1,0
Latvia,2000,0,1,0
Latvia-1,2014,0,1,0
Leander Club #1-1,1908,1,0,0
Leander Club #2-2,1908,0,1,0
Leander Club-1,1908,3,0,0
Leander Club-1,1912,1,0,0
Leander Club-2,1908,0,3,0
Lebanon,1980,0,0,1
Lebanon,1952,0,1,0
Lerina,1900,3,3,0
Libellule de Paris,1900,0,0,3
"""Life boat naval ship """"Spetsai""""-1""",1906,0,3,0
Lithuania,2000,1,0,2
Lithuania,2008,0,0,1
Lithuania,1992,0,0,4
Lithuania,2016,0,0,1
Lithuania,1996,0,0,1
Lithuania,2004,1,0,0
Lithuania,2012,1,0,0
Liverpool Police Team-2,1908,0,2,0
Llanoria,1952,1,0,0
London City Police-1,1908,1,0,0
Lucky Girl-1,1912,0,0,1
Ludwigshafener Ruder Verein-1,1900,0,0,2
Ludwigshafener Ruderverein,1912,3,0,0
Luxembourg,1952,1,0,0
Luxembourg,1920,0,1,0
Magda IX,1912,3,0,0
Magdalen College Boat Club-1,1908,1,0,0
Malaysia,2016,0,2,1
Malaysia,1996,0,1,0
"""Marinai della nave da guerra """"Varese""""""",1906,1,0,2
Marmi II-1,1920,0,1,0
Martha-1,1900,0,2,2
May Be,1936,0,0,1
Mexico,2012,7,1,2
Mexico,1980,0,0,1
Mexico,2000,0,0,2
Mexico,1936,0,0,5
Mexico,1960,0,0,1
Mexico,1948,0,0,2
Mexico,1956,1,0,1
Mexico,2008,1,0,1
Mexico,1964,0,0,1
Mexico,1976,1,0,0
Mexico,1984,1,1,0
Mexico,1968,1,0,0
Mexico,1932,0,1,0
Mexico,1952,0,1,0
Mexico,2016,0,1,0
Mignon-3,1900,0,0,1
Missouri Athletic Club-3,1904,0,0,2
Mohawk Indians-2,1904,0,0,3
Moldova,2012,0,0,1
Mongolia,1968,0,0,2
Mongolia,2016,0,1,1
Mongolia,1996,0,0,1
Mongolia,1992,0,0,1
Mongolia,1980,0,0,1
Mongolia,2008,1,0,0
Montenegro,2012,0,4,0
Morocco,1988,1,0,2
Morocco,1992,0,1,1
Morocco,2008,0,0,1
Morocco,2000,0,1,2
Morocco,1996,0,0,1
Morocco,1984,2,0,0
Morocco,2004,2,1,0
Morocco,1960,0,1,0
Moseley Wanderers,1900,0,5,0
Mosk II,1920,2,0,0
Mouchette-2,1908,0,2,0
Mound City Rowing Club-2,1904,0,2,0
Mutafo,1964,0,1,0
Namoussa,1924,0,0,1
Nepal,1924,1,0,0
New York Athletic Club #1-1,1904,1,0,0
New York Athletic Club-1,1904,1,0,0
New Zealand,1992,0,4,1
New Zealand,1968,3,0,1
New Zealand,1988,1,1,3
New Zealand,2008,4,0,4
New Zealand,2012,6,1,1
New Zealand,2016,4,8,1
New Zealand,1964,0,0,2
New Zealand,1976,6,0,4
New Zealand,1972,3,1,1
New Zealand,1984,5,1,0
New Zealand,2004,3,1,0
New Zealand,1996,0,1,0
Niger,1972,0,0,1
Niger,2016,0,1,0
Nigeria,2016,0,0,8
Nigeria,2004,0,0,5
Nigeria,2008,0,7,1
Nigeria,1996,7,1,1
Nigeria,1984,0,0,1
Nigeria,2000,3,1,0
Nigeria,1992,0,3,0
Nina,1912,0,3,0
Nina Claire-2,1900,0,0,3
Nirefs,1960,1,0,0
Norna,1928,3,0,0
North Korea,1996,0,0,1
North Korea,2012,1,0,0
North Korea,1992,1,0,0
North Korea,2008,0,1,0
North Korea,2016,0,1,0
Norway,1992,2,7,1
Norway,1994,2,6,1
Norway,1996,0,0,5
Norway,1952,6,4,3
Norway,2016,0,0,5
Norway,1912,5,0,8
Norway,1972,0,1,4
Norway,1900,0,0,1
Norway,1920,0,13,2
Norway,1936,3,2,4
Norway,1980,0,3,4
Norway,1998,5,3,1
Norway,2006,2,4,5
Norway,1968,6,1,1
Norway,1928,3,1,2
Norway,2010,6,4,4
Norway,2014,8,1,4
Norway,1956,2,0,1
Norway,1964,1,1,2
Norway,2000,2,1,3
Norway,1988,0,7,2
Norway,1984,1,2,1
Norway,1948,1,2,1
Norway,2002,13,3,0
Norway,2008,2,1,0
Norway,1960,2,2,0
Norway,2012,2,0,0
Norway,1906,5,1,0
Norway,1908,1,7,0
Norway,2004,1,0,0
Norway,1904,1,0,0
Norway,1976,0,3,0
Norway,1932,0,3,0
Norway,1924,0,1,0
Nykjbings paa Falster,1912,1,0,0
Olle,1900,4,0,0
Oranje,1920,2,0,0
Ormsund Roklub-2,1912,0,0,1
Pakistan,1992,0,0,6
Pakistan,1976,0,0,2
Pakistan,1960,7,0,1
Pakistan,1968,7,0,0
Pakistan,1984,6,0,0
Pakistan,1964,0,8,0
Pakistan,1972,0,4,0
Pakistan,1956,0,4,0
Pan,1948,1,0,0
Pan,1952,1,0,0
Paraguay,2004,0,11,0
Peru,1984,0,1,0
Peru,1988,0,3,0
"""Phalainis ton Thorichtou """"Hydra""""-2""",1906,0,3,0
Philippines,2016,0,1,0
Pistoja/Firenze,1906,0,0,2
Poland,1980,0,6,4
Poland,1968,1,0,7
Poland,1976,2,4,5
Poland,1948,0,0,1
Poland,1928,0,1,4
Poland,1964,2,2,2
Poland,1992,1,3,5
Poland,1972,4,1,2
Poland,1960,0,1,4
Poland,2000,0,1,2
Poland,2012,0,1,1
Poland,1932,0,1,3
Poland,2014,1,1,1
Poland,2016,0,0,1
Poland,1996,0,1,2
Poland,1988,0,1,3
Poland,2008,1,2,0
Poland,1952,1,1,0
Polyteknisk Roklub-1,1912,0,0,2
Portugal,1996,0,0,1
Portugal,1936,0,0,2
Portugal,1928,0,0,3
Portugal,1924,0,0,2
Portugal,2000,0,0,1
Portugal,2008,1,1,0
Puerto Rico,1992,0,0,1
Puerto Rico,2012,0,1,1
Pupilles de Neptune de Lille #2-1,1900,0,0,4
Qatar,2012,0,0,2
Qatar,2016,0,1,0
Quand-Mme-2,1900,0,3,0
Roddklubben af 1912-1,1912,0,3,0
Romania,2008,3,1,5
Romania,1976,4,8,5
Romania,1984,10,6,14
Romania,1996,3,4,4
Romania,2000,8,2,2
Romania,1980,2,9,22
Romania,1988,2,8,6
Romania,1924,0,0,2
Romania,1992,0,9,6
Romania,2016,2,0,5
Romania,1972,1,3,7
Romania,2012,0,5,2
Romania,1964,1,1,2
Romania,2004,5,1,4
Romania,1968,2,2,3
Romania,1956,1,1,1
Romania,1952,0,0,1
Romania,1960,2,1,0
Rowing Club Castillon-3,1900,0,0,1
Royal Club Nautique de Gand,1900,0,4,0
Royal Club Nautique de Gand,1908,0,1,0
Russia,2012,10,7,9
Russia,2016,11,6,11
Russia,2004,12,10,15
Russia,2006,6,6,5
Russia,2008,11,8,10
Russia,2002,2,2,6
Russia,2000,8,12,12
Russia,1996,3,4,6
Russia,2014,4,6,2
Russia,1912,0,0,1
Russia,2010,1,0,3
Russia,1998,4,5,1
Russia,1994,2,4,0
Santa Maria,1932,0,1,0
Sarcelle-3,1900,0,0,1
Saudi Arabia,2012,0,0,3
Saudi Arabia,2000,0,1,1
Scotia,1900,2,0,0
Scotland-3,1908,0,0,3
Seawanhaka Boat Club-1,1904,1,0,0
Senegal,1988,0,1,0
Serbia,2012,0,0,2
Serbia,2016,3,6,5
Serbia,2008,0,1,3
Serbia and Montenegro,1996,0,5,3
Serbia and Montenegro,2000,2,0,1
Serbia and Montenegro,2004,0,1,0
Silja,1936,0,2,0
Singapore,2012,0,0,2
Singapore,2008,0,1,0
Sirene,1960,1,0,0
Slaghoken,1948,0,2,0
Slaghoken,1956,1,0,0
Slovakia,2004,0,0,1
Slovakia,2012,0,0,1
Slovakia,2016,0,1,0
Slovenia,2004,0,1,1
Slovenia,1992,0,0,1
Slovenia,2012,0,0,2
Slovenia,2008,0,0,1
Slovenia,1994,0,0,1
Slovenia,2014,0,0,1
Slovenia,2000,2,0,0
Slovenia,1996,0,1,0
Smyrna,1906,0,2,0
Snap,1948,0,0,3
Socit Nautique de Bayonne-1,1906,0,0,1
Socit Nautique de Bayonne-2,1906,0,0,1
Socit Nautique de la Basse Seine-1,1906,0,4,2
South Africa,1956,0,0,2
South Africa,2016,0,1,4
South Africa,1948,1,0,2
South Africa,1928,1,0,1
South Africa,2004,1,0,2
South Africa,1932,1,0,1
South Africa,1952,1,1,0
South Africa,2012,1,0,0
South Africa,1924,0,1,0
South Africa,1960,0,1,0
South Africa,1920,0,3,0
South Africa,1936,0,1,0
South Africa,1992,0,1,0
South Korea,1988,0,4,2
